Transaction Date,Post Date,Description,Category,Type,Amount,Memo
08/13/2025,08/14/2025,GOOGLE *FIBER KFvVRv,Bills & Utilities,Sale,-71.40,
08/09/2025,08/10/2025,PP*GOOGLE GOOGLE ONE,Entertainment,Sale,-2.11,
08/06/2025,08/10/2025,SUPER SOAPER CAR WASH,Automotive,Sale,-30.00,
08/03/2025,08/04/2025,GOOGLE *YouTubePremium,Bills & Utilities,Sale,-13.99,
07/31/2025,07/31/2025,LYFT   *1 RIDE 07-29,Travel,Sale,-31.99,
07/27/2025,07/27/2025,BUTCHERBOX  LLC,Groceries,Sale,-315.18,
07/24/2025,07/25/2025,UBER   *TRIP,Travel,Sale,-30.04,
07/22/2025,07/22/2025,AUTOMATIC PAYMENT - THANK,,Payment,2669.27,
07/13/2025,07/14/2025,GOOGLE *FIBER 3BTCDP,Bills & Utilities,Sale,-71.40,
07/09/2025,07/09/2025,PP*GOOGLE GOOGLE ONE,Entertainment,Sale,-2.11,
07/06/2025,07/09/2025,SUPER SOAPER CAR WASH,Automotive,Sale,-30.00,
07/04/2025,07/07/2025,MAGGIES KITCHEN,Food & Drink,Sale,-48.71,
07/03/2025,07/06/2025,ROCKSLIDE BREW PUB - GJ,Food & Drink,Sale,-64.00,
07/03/2025,07/04/2025,PP*GOOGLE ONXMAPS,Entertainment,Sale,-37.18,
07/03/2025,07/04/2025,GOOGLE *YouTubePremium,Bills & Utilities,Sale,-13.99,
07/03/2025,07/04/2025,WAL-MART #5099,Groceries,Sale,-5.82,
06/30/2025,07/01/2025,PP*GOOGLE GLORITY GLOBAL,Entertainment,Sale,-21.24,
06/27/2025,06/29/2025,VETSOURCE,Personal,Sale,-74.68,
06/23/2025,06/24/2025,VETSOURCE,Personal,Sale,-148.29,
06/22/2025,06/22/2025,AUTOMATIC PAYMENT - THANK,,Payment,606.18,
06/19/2025,06/19/2025,LYFT   *1 RIDE 06-17,Travel,Sale,-36.88,
06/17/2025,06/18/2025,DUNKIN #342231 Q35,Food & Drink,Sale,-6.15,
06/17/2025,06/18/2025,GULF OIL 92038875,Gas,Sale,-30.82,
06/16/2025,06/17/2025,KOSTAS CAFE,Food & Drink,Sale,-49.00,
06/16/2025,06/17/2025,UOFU PHARMACY MYCHART,Health & Wellness,Sale,-9.07,
06/15/2025,06/16/2025,SUNOCO 8002098301,Gas,Sale,-4.69,
06/15/2025,06/16/2025,SUNOCO 8002098301,Gas,Sale,-2.12,
06/13/2025,06/15/2025,GOOGLE *FIBER ww9R8C,Bills & Utilities,Sale,-71.40,
06/11/2025,06/13/2025,BLACK &amp; WHITE GRILLE,Food & Drink,Sale,-256.00,
06/12/2025,06/12/2025,LYFT   *1 RIDE 06-10,Travel,Sale,-26.39,
06/09/2025,06/10/2025,PP*GOOGLE GOOGLE ONE,Entertainment,Sale,-2.11,
06/06/2025,06/09/2025,SUPER SOAPER CAR WASH,Automotive,Sale,-30.00,
06/08/2025,06/09/2025,PILOT_00774,Gas,Sale,-32.72,
06/06/2025,06/08/2025,CHEVRON 0201423,Gas,Sale,-31.69,
06/06/2025,06/08/2025,CHEVRON 0201423,Gas,Sale,-11.43,
06/06/2025,06/08/2025,FLYING J 774,Gas,Sale,-8.61,
06/06/2025,06/08/2025,PILOT_00774,Gas,Sale,-32.62,
06/06/2025,06/08/2025,MAVERIK CNTRY STRE 323,Gas,Sale,-18.99,
06/05/2025,06/06/2025,BURT BROTHERS 008 SUGAR H,Gas,Sale,-202.12,
06/02/2025,06/04/2025,SAME DAY HEATING PLUMBI,Home,Sale,-1329.00,
06/03/2025,06/04/2025,GOOGLE *YouTubePremium,Entertainment,Sale,-13.99,
