Description,Count,Total,Monthly Average
A BAR NAME SUE HIGHLAND,2,$47.00,$3.92
ABC PLANET FITNESS S SAL,12,$312.88,$26.07
AMAZON COM,41,$1171.90,$97.66
AMAZON MKTPL,164,$7796.90,$649.74
AMZN MKTP US,4,$141.82,$11.82
BLAZE PIZZA FARM,4,$88.44,$7.37
BURGER KING Q,2,$42.95,$3.58
CHEVRON,4,$116.38,$9.70
CHICK FIL A,5,$48.56,$4.05
CONGREGATION KOL AMI,13,$3075.91,$256.33
DEL TACO,13,$253.22,$21.10
DELTA AIRLINES ONBOARD SA,5,$88.00,$7.33
ELEVEN,2,$11.10,$0.93
EMISSIONS PLUS,2,$100.00,$8.33
ENTERPRISE RENT A CAR,2,$1588.06,$132.34
ERACTOLL,4,$54.40,$4.53
FIVE GUYS QSR,4,$148.22,$12.35
FLYING J,2,$31.75,$2.65
HARMONS AT STATION,53,$544.05,$45.34
HARMONS ST PARK FA,13,$72.86,$6.07
HARMONS STATION PARK,2,$89.45,$7.45
HELP BLOSSOMUP CO,2,$31.90,$2.66
HOV,7,$882.25,$73.52
IFA SALT LAKE CITY,3,$48.46,$4.04
JERSEY MIKES,7,$99.56,$8.30
MASSAGE ENVY RET,12,$970.00,$80.83
MAVERIK,8,$156.95,$13.08
MAVERIK CNTRY STRE,51,$1863.85,$155.32
MCDONALD S F,2,$61.00,$5.08
NAYAX ISRAEL,2,$6.65,$0.55
PANDA EXPRESS,2,$26.31,$2.19
PRIME VIDEO,5,$20.69,$1.72
PRIME VIDEO CHANNELS,4,$54.92,$4.58
PURCHASE INTEREST CHARGE,3,$201.44,$16.79
RETURNED PAYMENT,4,$18327.64,$1527.30
ROVER COM PET SVCS,2,$222.70,$18.56
SALT LAKE TENNIS,26,$7578.20,$631.52
SHAKE SHACK CONC A SLC,3,$83.37,$6.95
SKYNOVA AYNAX,4,$60.00,$5.00
SLC VESSEL KITCHEN,2,$23.81,$1.98
SP TRYFUM COM,3,$196.15,$16.35
STARLINK INTERNET,3,$403.55,$33.63
TST COSTA VIDA ST,10,$99.00,$8.25
TST DE LOS MUERTOS MEX,3,$165.89,$13.82
TST TSUNAMI SUGARHOUSE,3,$385.56,$32.13
TST VESSEL KITCHEN FAR,2,$38.00,$3.17
UTAH DMV RENEWAL EXPRE,2,$324.75,$27.06
VICTORY,2,$86.61,$7.22
VIVINT INC US,13,$624.77,$52.06
WAYCUP COFFE,2,$6.57,$0.55
ZAO FARMINGTON,8,$127.00,$10.58
