Description,Category,Count,Total,Monthly Average
A BAR NAME SUE HIGHLAND,Food & Drink,5,$112.00,$9.33
ABC PLANET FITNESS S SAL,Health & Wellness,12,$312.88,$26.07
AMAZON COM,Shopping,41,$1171.90,$97.66
AMAZON MKTPL,Shopping,164,$7796.90,$649.74
AMZN MKTP US,Shopping,4,$141.82,$11.82
BLAZE PIZZA FARM,Food & Drink,4,$88.44,$7.37
BURGER KING Q,Food & Drink,2,$42.95,$3.58
BUTCHERBOX LLC,Groceries,6,$1608.86,$134.07
CBDFX,Shopping,3,$169.68,$14.14
CHASE CREDIT CRD AUTOPAY PPD ID,N/A,24,$31667.67,$2638.97
CHEVRON,Gas,6,$159.50,$13.29
CHICK FIL A,Food & Drink,5,$48.56,$4.05
COINBASE INC RTL FDZ JV WEB ID,N/A,2,$1500.00,$125.00
CONGREGATION KOL AMI,Gifts & Donations,13,$3075.91,$256.33
DD DOORDASH MUMBAIHOU,Food & Drink,4,$230.25,$19.19
DEL TACO,Food & Drink,13,$253.22,$21.10
DELTA AIRLINES ONBOARD SA,Groceries,5,$88.00,$7.33
DOMINION ENERGY QGC PPD ID,N/A,13,$1191.81,$99.32
ELEVEN,Gas,2,$11.10,$0.93
EMISSIONS PLUS,Automotive,2,$100.00,$8.33
ENTERPRISE RENT A CAR,Travel,2,$1588.06,$132.34
ERACTOLL,Travel,4,$54.40,$4.53
FID BKG SVC LLC MONEYLINE PPD ID,N/A,2,$27000.00,$2250.00
FIVE GUYS QSR,Food & Drink,4,$148.22,$12.35
FLYING J,Gas,2,$31.75,$2.65
GOOGLE FIBER WW R C,Bills & Utilities,2,$142.80,$11.90
GOOGLE YOUTUBEPREMIUM,Bills & Utilities,13,$181.87,$15.16
HARMONS AT STATION,Groceries,53,$544.05,$45.34
HARMONS ST PARK FA,Groceries,13,$72.86,$6.07
HARMONS STATION PARK,Gas,2,$89.45,$7.45
HELP BLOSSOMUP CO,Education,2,$31.90,$2.66
HOMEDEPOT COM,Home,3,$75.15,$6.26
HOV,Shopping,10,$1136.53,$94.71
IFA SALT LAKE CITY,Food & Drink,3,$48.46,$4.04
INTERMOUNTAIN FARMERS ASS,Food & Drink,2,$410.38,$34.20
JERSEY MIKES,Food & Drink,7,$99.56,$8.30
KAFE RIMON,Food & Drink,2,$30.12,$2.51
LYFT RIDE,Travel,10,$391.26,$32.61
MASSAGE ENVY RET,Health & Wellness,15,$1018.00,$84.83
MAVERIK,Gas,8,$156.95,$13.08
MAVERIK CNTRY STRE,Gas,53,$1893.11,$157.76
MCDONALD S F,Food & Drink,2,$61.00,$5.08
NAYAX ISRAEL,Groceries,2,$6.65,$0.55
NEW AMERICAN FND HOME LOAN WEB ID,N/A,13,$22704.66,$1892.05
ONLINE TRANSFER TO SOFI HYS TRANSACTION,N/A,2,$8122.00,$676.83
PANDA EXPRESS,Food & Drink,2,$26.31,$2.19
PAYMENT TO CHASE CARD ENDING IN,N/A,7,$23407.09,$1950.59
PILOT,Gas,3,$100.76,$8.40
PP GOOGLE GOOGLE ONE,Entertainment,9,$18.99,$1.58
PRIME VIDEO,Shopping,5,$20.69,$1.72
PRIME VIDEO CHANNELS,Shopping,4,$54.92,$4.58
PURCHASE INTEREST CHARGE,Fees & Adjustments,3,$201.44,$16.79
RADIAN WEAPONS,Shopping,2,$162.26,$13.52
RETURNED PAYMENT,N/A,4,$18327.64,$1527.30
ROCKYMTN PACIFIC POWER BILL ACHPAY CCD ID,N/A,12,$2599.73,$216.64
ROVER COM PET SVCS,Personal,2,$222.70,$18.56
SALT LAKE TENNIS,Health & Wellness,26,$7578.20,$631.52
SHAKE SHACK CONC A SLC,Food & Drink,3,$83.37,$6.95
SKYNOVA AYNAX,Personal,4,$60.00,$5.00
SLC UTILITIES PAYMENT WEB ID,N/A,13,$2153.25,$179.44
SLC VESSEL KITCHEN,Food & Drink,2,$23.81,$1.98
SP TRYFUM COM,Shopping,3,$196.15,$16.35
STARLINK INTERNET,Bills & Utilities,3,$403.55,$33.63
SUNOCO,Gas,2,$6.81,$0.57
SUPER SOAPER CAR WASH,Automotive,13,$390.00,$32.50
SYNCHRONY BANK ONLINEPYMT WEB ID,N/A,11,$4235.00,$352.92
TST COSTA VIDA ST,Food & Drink,10,$99.00,$8.25
TST DE LOS MUERTOS MEX,Food & Drink,3,$165.89,$13.82
TST TSUNAMI SUGARHOUSE,Food & Drink,3,$385.56,$32.13
TST VESSEL KITCHEN FAR,Food & Drink,2,$38.00,$3.17
UBER TRIP,Travel,8,$265.67,$22.14
UOFU PHARMACY MYCHART,Health & Wellness,4,$34.74,$2.90
UTAH DMV RENEWAL EXPRE,Bills & Utilities,2,$324.75,$27.06
VENMO ADDFUNDS WEB ID,N/A,3,$2000.00,$166.67
VENMO PAYMENT WEB ID,N/A,9,$2540.81,$211.73
VETSOURCE,Personal,8,$900.46,$75.04
VIASAT IN FLIGHT WI FI,Bills & Utilities,2,$20.98,$1.75
VICTORY,Groceries,2,$86.61,$7.22
VIVINT CITIZ PMT OF,Personal,9,$534.06,$44.50
VIVINT INC US,Professional Services,13,$624.77,$52.06
WALMART COM,Shopping,2,$97.14,$8.10
WAYCUP COFFE,Food & Drink,2,$6.57,$0.55
WITHDRAWAL,N/A,4,$5000.00,$416.67
ZAO FARMINGTON,Food & Drink,8,$127.00,$10.58
ZELLE PAYMENT TO JULIA EFREMOVA JPM ASGDYKZ,N/A,2,$2500.00,$208.33
ZELLE PAYMENT TO JULIA EFREMOVA JPM BHQH PN,N/A,21,$27040.00,$2253.33
